"File","Version","Scenario","ShownMs","PaintedMs","CompleteMs","Nodes","DPI"
"01-next13.tsv","ss_2026.09.08_next13_build3","changed","1231.334","1231.655","1434.327","programs-ready:nodes=8","dpi=1.00"
"01-next13.tsv","ss_2026.09.08_next13_build3","first","1568.691","1570.787","1985.703","programs-ready:nodes=8","dpi=1.00"
"01-next13.tsv","ss_2026.09.08_next13_build3","warm","1429.194","1429.49","1672.64","programs-ready:nodes=8","dpi=1.00"
"01-next13.tsv","ss_2026.09.08_next13_build3","warm","1219.891","1220.256","1523.491","programs-ready:nodes=8","dpi=1.00"
"01-next13.tsv","ss_2026.09.08_next13_build3","changed-warm","1070.259","1070.565","1363.198","programs-ready:nodes=8","dpi=1.00"
"01-next13.tsv","ss_2026.09.08_next13_build3","warm","1228.354","1228.647","1522.54","programs-ready:nodes=8","dpi=1.00"
"02-next14.tsv","ss_2026.09.08_next14_build3","warm","1580.987","1581.277","2072.618","programs-ready:nodes=8","dpi=1.00"
"02-next14.tsv","ss_2026.09.08_next14_build3","warm","1078.305","1078.692","1485.961","programs-ready:nodes=8","dpi=1.00"
"02-next14.tsv","ss_2026.09.08_next14_build3","changed-warm","1379.583","1379.899","1726.43","programs-ready:nodes=8","dpi=1.00"
"02-next14.tsv","ss_2026.09.08_next14_build3","warm","1623.378","1623.67","2011.721","programs-ready:nodes=8","dpi=1.00"
"02-next14.tsv","ss_2026.09.08_next14_build3","first","2182.541","2184.652","2620.126","programs-ready:nodes=8","dpi=1.00"
"02-next14.tsv","ss_2026.09.08_next14_build3","changed","855.087","855.322","1256.903","programs-ready:nodes=8","dpi=1.00"
"03-next15.tsv","ss_2026.09.08_next15_build3","changed","646.162","646.67","847.734","programs-ready:nodes=8","dpi=1.00"
"03-next15.tsv","ss_2026.09.08_next15_build3","warm","550.838","551.079","770.056","programs-ready:nodes=8","dpi=1.00"
"03-next15.tsv","ss_2026.09.08_next15_build3","warm","848.612","848.931","1186.841","programs-ready:nodes=8","dpi=1.00"
"03-next15.tsv","ss_2026.09.08_next15_build3","first","1208.488","1212.374","1490.903","programs-ready:nodes=8","dpi=1.00"
"03-next15.tsv","ss_2026.09.08_next15_build3","changed-warm","631.712","631.963","923.257","programs-ready:nodes=8","dpi=1.00"
"03-next15.tsv","ss_2026.09.08_next15_build3","warm","579.914","580.157","754.294","programs-ready:nodes=8","dpi=1.00"
"04-next16.tsv","ss_2026.09.08_next16_build4","warm","38.495","68.837","283.052","programs-ready:nodes=8","dpi=1.00"
"04-next16.tsv","ss_2026.09.08_next16_build4","warm","56.918","95.652","370.579","programs-ready:nodes=8","dpi=1.00"
"04-next16.tsv","ss_2026.09.08_next16_build4","first","47.858","160.562","222.683","programs-ready:nodes=8","dpi=1.00"
"04-next16.tsv","ss_2026.09.08_next16_build4","changed","43.296","69.642","375.256","programs-ready:nodes=8","dpi=1.00"
"04-next16.tsv","ss_2026.09.08_next16_build4","warm","60.632","104.034","549.18","programs-ready:nodes=8","dpi=1.00"
"04-next16.tsv","ss_2026.09.08_next16_build4","changed-warm","61.582","85.524","339.454","programs-ready:nodes=8","dpi=1.00"
"05-next16.tsv","ss_2026.09.08_next16_build4","warm","52.863","89.101","325.317","programs-ready:nodes=8","dpi=1.00"
"05-next16.tsv","ss_2026.09.08_next16_build4","changed","56.127","93.602","397.933","programs-ready:nodes=8","dpi=1.00"
"05-next16.tsv","ss_2026.09.08_next16_build4","changed-warm","42.05","70.958","469.611","programs-ready:nodes=8","dpi=1.00"
"05-next16.tsv","ss_2026.09.08_next16_build4","warm","38.94","70.138","312.755","programs-ready:nodes=8","dpi=1.00"
"05-next16.tsv","ss_2026.09.08_next16_build4","warm","35.353","68.62","253.345","programs-ready:nodes=8","dpi=1.00"
"05-next16.tsv","ss_2026.09.08_next16_build4","first","56.135","193.609","256.526","programs-ready:nodes=8","dpi=1.00"
"07-next14.tsv","ss_2026.09.08_next14_build3","changed","1182.275","1182.658","1652.113","programs-ready:nodes=8","dpi=1.00"
"07-next14.tsv","ss_2026.09.08_next14_build3","first","1667.592","1668.858","2102.538","programs-ready:nodes=8","dpi=1.00"
"07-next14.tsv","ss_2026.09.08_next14_build3","changed-warm","1304.113","1304.416","1747.183","programs-ready:nodes=8","dpi=1.00"
"07-next14.tsv","ss_2026.09.08_next14_build3","warm","1112.456","1112.75","1459.543","programs-ready:nodes=8","dpi=1.00"
"07-next14.tsv","ss_2026.09.08_next14_build3","warm","1052.13","1052.395","1401.396","programs-ready:nodes=8","dpi=1.00"
"07-next14.tsv","ss_2026.09.08_next14_build3","warm","1109.095","1109.376","1468.856","programs-ready:nodes=8","dpi=1.00"
"08-next13.tsv","ss_2026.09.08_next13_build3","changed","1244.761","1245.016","1530.662","programs-ready:nodes=8","dpi=1.00"
"08-next13.tsv","ss_2026.09.08_next13_build3","warm","1465.152","1465.403","1764.27","programs-ready:nodes=8","dpi=1.00"
"08-next13.tsv","ss_2026.09.08_next13_build3","warm","1171.989","1172.335","1461.89","programs-ready:nodes=8","dpi=1.00"
"08-next13.tsv","ss_2026.09.08_next13_build3","changed-warm","1135.952","1136.235","1565.732","programs-ready:nodes=8","dpi=1.00"
"08-next13.tsv","ss_2026.09.08_next13_build3","warm","1125.047","1125.344","1391.289","programs-ready:nodes=8","dpi=1.00"
"08-next13.tsv","ss_2026.09.08_next13_build3","first","1684.034","1685.289","2087.21","programs-ready:nodes=8","dpi=1.00"
